"","DIS","CMCSA","TWX","SNE","FOXA","VIAB"
"2012-06-25",43.999477,28.152803,32.45879,13.96,17.176576,42.250556
"2012-06-26",44.56478,28.384857,32.928564,13.84,18.604389,42.141025
"2012-06-27",45.101818,28.811838,33.68198,13.81,19.074634,42.843832
"2012-06-28",45.05471,28.811838,33.566744,13.72,18.801044,42.542631
"2012-06-29",45.695388,29.831732,34.125159,14.24,19.05753,42.916853
"2012-07-02",45.902667,30.102335,34.346747,14.2,19.536322,43.61966
"2012-07-03",45.780184,29.887718,34.426523,14.27,19.43373,44.358974
"2012-07-05",45.327941,29.346513,33.939024,13.78,19.18578,43.58315
"2012-07-06",45.261989,29.262532,34.204931,13.64,18.920738,43.501003
"2012-07-09",45.224301,29.178551,33.779476,13.45,18.741193,43.455367
"2012-07-10",44.621311,29.253201,33.44266,13.1,18.689887,42.770815
"2012-07-11",44.536516,29.607784,33.77061,12.87,18.544547,42.652158
"2012-07-12",44.668419,29.019922,33.424928,12.5,18.433401,42.241426
"2012-07-13",45.403313,29.738422,33.850383,12.66,18.76684,43.181547
"2012-07-16",45.092398,29.701096,33.788342,12.6,18.681342,42.889472
"2012-07-17",46.496233,30.167656,34.329026,12.3,19.05753,42.862087
"2012-07-18",46.496233,30.223641,34.497429,12.34,19.125929,43.464493
"2012-07-19",46.157054,30.214311,34.69244,12.57,19.151586,42.579141
"2012-07-20",45.780184,30.027687,34.444254,12.08,18.801044,42.360083
"2012-07-23",45.205457,29.271863,33.229927,11.7,18.655694,41.620766
"2012-07-24",45.375049,29.299856,33.57561,11.65,18.595842,41.32869
"2012-07-25",45.506953,29.262532,34.169478,11.26,18.877988,41.32869
"2012-07-26",46.835416,29.495811,33.992198,11.9,19.314027,42.022372
"2012-07-27",47.052116,30.130331,34.550614,12.35,19.989463,42.688669
"2012-07-30",46.920212,30.05568,34.196076,12.02,19.895418,42.624777
"2012-07-31",46.298378,30.372939,34.674708,12.15,19.681671,42.633903
"2012-08-01",45.996883,31.306056,35.100163,12.14,19.673125,42.19579
"2012-08-02",46.14763,31.837932,36.04858,11.24,19.784272,41.830698
"2012-08-03",46.891948,32.29516,36.677901,11.64,20.066415,43.081145
"2012-08-06",46.778888,32.603087,36.881768,11.51,20.177563,44.550651
"2012-08-07",46.929636,32.239172,37.174265,11.67,20.399856,44.806216
"2012-08-08",47.570314,32.201847,37.502227,11.71,20.280153,44.815342
"2012-08-09",47.070959,32.239172,37.714949,11.98,20.237403,45.445132
"2012-08-10",46.778888,32.407133,38.025178,12.34,19.99801,45.125672
